Region_group_of_destination,Location code of destination,WORLD,Latin America and the Caribbean,Europe and Northern America,Developed regions,Less developed regions,Less developed regions excluding least developed,Middle-income countries,Upper-middle-income-countries,Lower-middle-income countries,Low-income countries,AFRICA,ASIA,EUROPE,Caribbean,Central America,South America,NORTHERN AMERICA,year
  Least developed countries,941,10431876,30609,174547,191626,8927133,2974210,4178166,740576,3437590,4654321,6977694,1928495,119871,9013,518,21078,54676,2010
  Land-locked Developing Countries (LLDC),1636,11597176,238161,4561135,4567234,6219200,3087765,7715284,4854975,2860309,2891256,4055698,1929448,4544987,4311,11344,222506,16148,2010
  Small island developing States (SIDS),1637,4710457,838899,582880,621650,3677756,3029889,3027560,1951311,1076249,436581,136938,2642524,252344,672646,53301,112952,330536,2010
  High-income countries,1503,142642749,29967194,39850247,41534023,96287330,85915868,92224331,50617461,41606870,5974273,14003323,52518689,37089395,6771383,15608208,7587603,2760852,2010
  Middle-income countries,1517,69069732,4536897,18313997,18531567,47444345,27093553,48291599,22037481,26254118,11732461,9230759,33791090,17115535,427246,595725,3513926,1198462,2010
 Upper-middle-income countries,1502,42080101,4344135,12778504,12937382,27984748,19663589,31477521,15664201,15813320,4580350,2389052,21338130,11758830,422250,511080,3410805,1019674,2010
 Lower-middle-income countries,1501,26989631,192762,5535493,5594185,19459597,7429964,16814078,6373280,10440798,7152111,6841707,12452960,5356705,4996,84645,103121,178788,2010
  Low-income countries,1500,8781206,18475,297331,298769,7690045,3031905,3944485,1461181,2483304,3955800,5862555,1809546,288735,8926,518,9031,8596,2010
 AFRICA,903,17806677,19077,650710,666414,15483630,3963521,5582171,565473,5016698,9637542,14571247,896987,604211,7558,1340,10179,46499,2010
  Eastern Africa,910,4743657,55,132003,132603,4229845,437268,809235,63831,745404,3392094,4173175,56905,128168,55,0,0,3835,2010
  Middle Africa,911,2436802,403,52964,52998,1877729,282807,673050,77797,595253,1206629,1873615,3732,50639,403,0,0,2325,2010
  Northern Africa,912,1952040,1643,141901,145073,1734673,941943,725741,192866,532875,815147,1027165,707842,121504,30,902,711,20397,2010
  Southern Africa,913,2352541,9765,286219,297482,1833830,782200,1136295,196538,939757,689385,1718813,106637,271293,2667,435,6663,14926,2010
  Western Africa,914,6321637,7211,37623,38258,5807553,1519303,2237850,34441,2203409,3534287,5778479,21871,32607,4403,3,2805,5016,2010
 ASIA,935,66123640,426361,6912932,7108893,55570752,37477396,51497503,17603523,33893980,7638112,3426719,51825389,6444826,546,5010,420805,468106,2010
